web-scraper-order,web-scraper-start-url,evento,evento-href,nome,data,localização,descrição,imagem,preço
"1638497336-482","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 21:00Reveillon Madalenas barMadalena's Bar - Santos, SP","https://www.sympla.com.br/reveillon-madalenas-bar__1386753","null","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 07h","null","Descrição do evento
                        
                        Madalena's Bar está preparando um mega réveillon  com mesa de frutas e queima de fogos, além de grandes artistas do cenário LGBTQIA+.
Primeira presença confirmada: Marcia Pantera - Drag Show
A cada semana anunciaremos as atrações para o melhor réveillon de todos.","url('https://images.sympla.com.br/61723ecf2942b-lg.jpg');"">","R$ 40,00"
"1638497378-492","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 18:00Réveillon no Bar BrooklynBar Brooklyn Brasil - São Paulo, SP","https://www.sympla.com.br/reveillon-no-bar-brooklyn__1392497","null","31 de dezembro de 2021, 18h  - 01 de janeiro de 2022, 06h","null","Descrição do evento
                        
                        Venha brindar o Réveillon no Bar Brooklyn Brasil, com:

- DJ KLJAY ao vivo e Filiph Neo até às 6h da manhã; 
- Ganhe uma taça de champagne para brindar com seus amigos!","url('https://images.sympla.com.br/61a7dc0d03c7b-lg.png');"">","R$ 50,00"
"1638497395-496","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 20:00Réveillon Open Bar do O'Malley'sO'Malley's Bar - São Paulo, SP","https://www.sympla.com.br/reveillon-open-bar-do-o-malley-s__1416451","null","31 de dezembro de 2021, 20h  - 01 de janeiro de 2022, 04h","null","Descrição do evento
                        
                        
Réveillon
Open Bar do O’Malley’s

Sexta
31/12/2021

Open das 20h às 4h
(abertura da casa as 19h30 e fechamento
as 5h) 


8
HORAS DE FESTA!!!!!!!!!!! 


Antecipado:
R$329 por pessoa, na compra via Sympla (200 ingressos)

Porta:
R$399 por pessoa, somente no dia e por ordem de chegada. 

 

✦
O que está incluso ✦

ENTRADA garantida até as 23h, depois pega fila preferencial.


Chopp

Gin
Tonic 

Whisky


Vinhos


Cocktails


Caipirinha


Espumante


Refrigerante
& Água.

Mesa
de frutas & Sopa de lentilha após a meia noite.

  

✦
Atrações ✦

Voz
& Violão: Yê Nakamura 21h até 00h

Banda:
SONDBRODER 00 até 3h

DJ
Rato das 3h às 4h30



 

 

 INFORMAÇÕES SOBRE A COMPRA:

* Entrada com ingresso antecipado
é garantida até as 23h 

* Os ingressos são nominais e não
podem ser revendidos sem prévia autorização.

* O Art. 49 da Lei 8.078/09 do
Código de Defesa do Consumidor garante um prazo legal de até 7 dias após a
compra OU até 2 dias antes do início do evento para solicitar o estorno de
pagamento.

  


ATENÇÃO:

Proibido a entrada de menores de
18 anos

Obrigatório documento oficial
original com foto

Apresentação do Passaporte de
vacina da Covid-19

contato: party@omalleysbar.net 

Informações sobre a casa:
http://www.omalleysbar.net/informacoes/

  

 

ESPAÇO SUJEITO A LOTAÇÃO","url('https://images.sympla.com.br/6195640935761-lg.jpg');"">","R$ 329,00"
"1638497364-488","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 21:00REVEILLON especial SAMBA DO SOL * 2022Mural Casa de Cultura - São Paulo, SP","https://www.sympla.com.br/reveillon-especial-samba-do-sol-2022__1428105","null","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 07h","Pra iniciar o Ano de 2022 da melhor forma!","Descrição do evento
                        
                        • REVEILLON especial SAMBA DO SOL •Pra iniciar o Ano de 2022 da melhor forma!
Vocês sempre pedem uma edição especial de Ano Novo.
Então vamos nessa. E este ano, mais que merecido!

Vamos brindar a vida com 10 horas de música e celebração e até o dia clarear!• DJs, 
• Roda de Samba 
e algumas surpresas!
• DETALHES •
Data: 31/12
Horário: das 21h as 7h da matinaLocal: Mural - Rua Luis Murat, 370
• ENTRADA •Lote Promocional (poucas unidades): 35$
Lote Promocional + Champagne: 85$*Salton (ou similar) de 375ml para o brinde de Ano Novo!
** Nossa dica é: se garantam no ingresso antecipado, os lotes vão acabar rápido. Na Porta provavelmente custará bem mais e teremos poucas unidades. O ingresso antecipado garante sua entrada a qualquer horário e sem filas mesmo em caso de lotação do evento! 
_________________________________
Agradecemos toda a presença de vocês ao longo desse ano, as alegrias, risadas, novas amizades. E vamos agora pra missão de celebrar tudo isso e receber com o coração aberto o Ano Novo que chega!

Desde já desejamos um 2022 próspero e de muitas alegrias!

E vamos pro Samba!
VAI SER HISTÓRICO!","url('https://images.sympla.com.br/61a27d417a2f3-lg.png');"">","R$ 35,00"
"1638497375-491","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 22:00Start Valle - O Maior Réveillon Open Bar do Circuito das AguasRancho Do Vale  - Lindóia, SP","https://www.sympla.com.br/start-valle-o-maior-reveillon-open-bar-do-circuito-das-aguas__1375171","null","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","Vem com a gente comemorar o nosso renascer!  Um  2022 em grande estilo, perto de amigos, familiares e pessoas agradáveis. Em um local aconchegante, espaçoso e com uma mega estrutura.","Descrição do evento
                        
                        O maior Réveillon Open Bar do Circuito das Águas.Vem com a gente comemorar o nosso renascer!  Um  2022 em grande estilo, perto de amigos, familiares e pessoas agradáveis. Em um local aconchegante, espaçoso e com uma mega estrutura.Start Valle 2018 e 2019 e 2020 foi sucesso, foi incrível, esse ano será ainda melhor. Porque para nós servir bem é lindo, muitas novidades artísticas, cenografias e ainda um open bar com, 20 opções de drinks e Bebidas , mesa de frutas, café da manhã completo.CardápioVodka Sky
Vodka Smirnoff
Whiskey Red Label
Whiskey Ballantines
Campari
Bacardi oro
Bacardi Prata
Tequila
Gyn
Catuaba Tradicional
Catuaba Açaí
Jurupinga
Caipirinha (Limão, Morango, Melancia, Abacaxi )
Espanhola
Chopp Pilsen
Chopp de Vinho
Energético
Suco
Refrigerante
Água
Em breve nossas atrações","url('https://images.sympla.com.br/6163396f7e993-lg.jpg');"">","R$ 170,00"
"1638497424-503","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 22:00FRESH Night  - RÉVEILLONHotel Prince Tower - São Paulo, SP","https://www.sympla.com.br/fresh-night-reveillon__1395881","null","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 08h","null","Descrição do evento
                        
                        SEXTA-FEIRA - 31/12/21 - DAS 22H ÀS 08H RÉVEILLON 

SONORO: JR LOPPEZPATRICK SANDIMERIK ARMILIATO  (EUA)JÚLIO DOUTOR 
AMILCAR RAMOS

Tudo Incluso
""All Inclusive"" 
OPEN BAR PREMIUMVodka AbsolutWhisky Red LabelGin TanquerayCerveja Budweiser Refrigerantes DiversosSucosEnergéticosGatoradeÁgua Bonafont
ILHA GASTRONÔMICA (Em breve cardápio) CAFÉ DA MANHÃ 

Para ingressos  Pix  sem taxa solicite nossa chave através do whatsapp 11 96621-9330. 

**SOMENTE PARA VACINADOS - OBRIGATÓRIO APRESENTAR PRINT DO CARTÃO DE VACINA COVID-19 COM PELO MENOS A PRIMEIRA DOSE","url('https://images.sympla.com.br/617b260c74940-lg.jpg');"">","R$ 200,00"
"1638497333-481","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","Sex, 31 Dez · 21:30Réveillon 2022 Saab - All inclusive PremiumSaab Eventos - Vinhedo, SP","https://www.sympla.com.br/reveillon-2022-saab-all-inclusive-premium__1405579","null","31 de dezembro de 2021, 21h30  - 01 de janeiro de 2022, 02h30","null","Descrição do evento
                        
                        REVEILLON
SAAB 2022 - ALL INCLUSIVEUm
novo tempo merece uma nova festa!!!


Esse é o momento único das nossas vidas.

Vamos
celebrar a chegada de um novo ano, à vida, os amigos e à família. Com a certeza
que 2022 será repleto de prosperidade, a Saab Eventos te convida a comemorar,
esta data, de maneira inesquecível. 

Com vista
panorâmica da cidade de Vinhedo, a Saab Eventos oferecerá open bar e open food
Premium além de muita musica.

Para
garantir um atendimento de qualidade, o evento conta com várias empresas de
renome na Região Metropolitana de Campinas (RMC).

Venha
desfrutar de uma noite única em nosso espaço!!!

BUFFET comandado
pelo Chef ARTUR SAUERBRONN ( Tuzai ) 

Com 30 anos
de experiência na área de eventos sociais e corporativos, o Chef Artur Sauerbronn
é referência de qualidade e inovação em seus pratos. Para nossa noite, ele
promete uma experiência impar ao mais refinado paladar. 

Serão
oferecidas quatro estações gastronômicas: 

ILHA DE
BUTECO

·        
Bolinho de bacalhau

·        
Bolinho de linguiça recheado com queijo

·        
Bolinho de cinco queijos

·        
Croquete de carne

·         Dadinho de tapioca com geleia de pimenta

·        
Mini sanduiche de pão de queijo recheado com pernil e
guarnecido com patê de pimenta

·        
Mini Buraco quente ( pão francês recheado com ragu de
costela)

·        
Tábua de frios e queijos

 

ILHAS
FRIAS 


 Pão
     Campagne, Pão de Ervas, Grissinis, Ciabatta, Crostata, Rosca de salame e
     provolone
 Canapé
     de Queijo Brie guarnecido de azeite de trufas e geleia de frutas vermelhas
     
 Canapé
     de Carpaccio de Carne ao molho de alcaparras e limão coberto com parmesão
 Brusqueta
     de abobrinha grelhada e parma 
 Brusqueta
     de tomatinhos coloridos 
 Brusqueta
     de linguiça e queijo
 Parmesão
     cavoucado (guarnecido de redução de balsâmico e mel)
 Tartare de Banana com crostata de
     parmesão
 
 Guacamole
     com crostata de limão e páprica picante


 

BUFFET

·        
Brandade de Bacalhau

·        
Camarão na moranga

·        
Pernil assado ao molho jus lié e couscous marroquino com
legumes grelhados

·        
Arroz ao vinho e castanhas

·        
Farofa crocantes com ervas frescas e nozes

·        
Mix de folhas verdes e croutons ao molho de iogurte

·        
Manicareti Caprese na manteiga

 

ILHA DE SOBREMESA

·        
Mini tortas de morango ao chantilly

·        
Brigadeiro de colher com farofa de paçoca

·        
Mousse de chocolate e crumble de castanhas

·        
Frutas laminadas (Lichia, Cereja, Kiwi, Morangos, Mamão,
Melão, Abacaxi)

 

BAR comandado por RODRIGO LEÃO 

Com 20 anos
de experiência na área de eventos, Rodrigo Leão já trabalhou no Copacabana
Palace, no consulado da Bulgária, para o cônsul João Gilberto Vaz, serviu
artistas nacionais e internacionais e para você irá proporcionar uma explosão
de sabores.

·        
Água com e sem gás

·        
Refrigerantes: Coca Cola Zero e normal, Guaraná Zero e normal

·        
Sucos de laranja e limão

·        
Caipirinhas de frutas variadas 

·        
Vodka 

·        Gin Orgânico Premium

·        
Cachaça

·        
Saque

·        
Red Label

·        
Cerveja artesanal Pilsen·         Heineken


·        
Espumante para o brinde da virada

·        
Caso opte por trazer sua garrafa não será cobrada taxa de
rolha.

 

LINE UP -
ATRAÇÃO MUSICAL



BANDA ANTENA 2 será responsável por promover um verdadeiro espetáculo musical. Com
uma história de 10 anos e mais de 250 clientes corporativos, sob o comando de Marcos Aurélio Caldana ( YÉIO),
guitarrista e vocalista, trará o que há de melhor para tornar este momento
ainda mais inesquecível. 

 

ESPAÇO
KIDS

As crianças são muito bem-vindas ao nosso evento. Sucesso nas edições
anteriores, teremos um ambiente equipado com brinquedos e monitora para receber
e garantir uma agradável noite. Será necessária a presença dos pais ou
responsável durante toda a permanência da criança no espaço.

INFORMAÇÕES ÚTEIS

- Vallet terceirizado no próprio espaço, pago à parte.

- Convite Integral 2º Lote R$550 ( À partir de 12 anos integral )

- Meia Entrada 2º Lote R$275 ( De 06 a 11 anos pagam meia )

- Crianças até 05 anos não pagam.
- Bebidas alcóolicas permitidas somente para maiores de 18 anos. 

 

Mais informações,
Mapa de Mesas, Vídeo de apresentação do layout e compra de convites:

(19) 99338-1414
(EDMOND)

(19) 99833-0836 (MELIN)(34) 9966-2326 ( ANTONIETA )
* O evento será realizado seguindo as diretrizes do Plano São Paulo
de prevenção a COVID-19, podendo haver alterações no seu formato ou até mesmo cancelamento
de acordo com a legislação vigente em 31/12/2021.","url('https://images.sympla.com.br/619c280a280eb-lg.jpg');"">","R$ 2.200,00"

"1638497390-495","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","31 Dez02 JanRAVE-ON FESTIVALLocal a definir - Mairiporã, SP","https://www.sympla.com.br/rave-on-festival__1055483","null","31 de dezembro de 2021, 12h  - 02 de janeiro de 2022, 18h","Local a definir - Mairiporã, SP","Descrição do evento
                        
                        A vida nos ensina a nos adaptar a qualquer ambiente, situações e circunstâncias que venha ser nossa realidade atual, o nosso ano de 2020 foi conturbado, nos deixou preso em nossas personalidades reais dentro de nós sem podermos nos expressar e ter o nosso “eu” vivo e real dentro de nós.
 Chegou a hora de nos renovar e mostrar quem realmente somos, explodir nossas boas energias, manifestar o nosso apoio ao próximo e sermos simplesmente o que somos, a pura e incrível felicidade e bem estar, olhar ao próximo e mostrar o nosso melhor.
Sejam bem vindos ao Réveillon festival, a liberdade de ser o que somos, a liberdade de nos mostrar ao mundo e explodir a felicidade e boas energias que existe entre nós.

O evento contará com 52 horas de muita música, arte e psicodelia!!!","url('https://images.sympla.com.br/60e47d936147b-lg.jpg');"">","R$ 70,00"
"1638497407-499","https://www.sympla.com.br/eventos/reveillon?c=sudeste&page=2","30 Set31 DezReveillon sutton 2022Av. Brg. Faria Lima, 4509 - São Paulo, SP","https://www.sympla.com.br/reveillon-sutton-2022__1364618","null","30 de setembro de 2021, 22h  - 31 de dezembro de 2021, 22h","null","Descrição do evento
                        
                        Esse é o momento das nossas vidas. Vamos celebrar a virada de um novo ano, repleto de esperança e boas energias. O grupo sutton celebra a virada do ano com um evento open bar + open food premium. OPEN FOOD PREMIUM: ENTRADAS: - Mini caprese.- Salada Caesar. - Batatas glaceadas em manteiga de ervas. - Canapé de salmão e sour cream. - Mini bruschetta de mucarela de bufala e tomatinho. - tabule com endivias. - salada alemã de batata e ovos. PRATOS: - Risoto de cogumelos - Risoto cremoso com jamon alho-poró e pimenta dedo de moça. - Salmão grelhado com purê de mandioquinha e velouté de limão. - Penne ao molho pomodoro e basílico. - Escalope de filet ao vinho. - Lombo suíno com cogumelos. SOBREMESA: - Brownie  com castanha do pará. - Torta de limão.- Pavê de morango. CAFÉ DA MANHÃ: - café - leite - chocolate - sucos naturais. - Salada de frutas. - Bolos (formigueiro | milho | coco). - Tábua de frios. - Pão de queijo. - Mini pães -Geleias | cereais | ovos mexidos | salsicha no molho. OPEN BAR PREMIUM: -Moscow mule. - Dry Martini. - Negroni. - Calvin Klein - Classic Gin tonica. - G&T Barcelona. - G&T Batlló. - G&T London. - Whisky - Stella Artois - Refrigerante - Água. 
ATRAÇÃO: DJS RESIDENTES + SURPRESA.","url('https://images.sympla.com.br/61560644eee25-lg.jpg');"">","R$ 500,00"
