web-scraper-order,web-scraper-start-url,evento,evento-href,nome,data,localização,descrição,imagem,preço
"1638499612-516","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 22:00Réveillon Pop/Funk - 8H DE OPEN BAR (31/12 | 22h) [Haus of Kaila + Villa Paraty]Villa Paraty - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-pop-funk-8h-de-open-bar-31-12-22h-haus-of-kaila-villa-paraty__1413217","Réveillon Pop/Funk - 8H DE OPEN BAR (31/12 | 22h) [Haus of Kaila + Villa Paraty]","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","Villa Paraty - Belo Horizonte, MG","Descrição do evento
                        
                        Vamos dizer adeus a 2021 em grande estilo! Todos juntos celebrando com 8h de open bar (cerveja Brahma, vodka Orloff, energético, suco, refrigerante e água), tábua de frios e petiscos (enquanto durar o estoque), 5 DJs e performances de drag (DJs: Kaíque Brandão, Diegaaaaaa, Mersex e convidados a serem anunciados).Compre seu ingresso e venha curtir muito POP e FUNK na virada.Os que garantirem ingresso antecipado ganharão uma ficha ao entrar no evento para retirar sua taça de espumante para o brinde da virada!","url('https://images.sympla.com.br/619f8e5164429-lg.png');"">","R$ 130,00"
"1638499658-528","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 21:00Réveillon Night Market 2022 - All InclusiveNight Market - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-night-market-2022-all-inclusive__1379261","Réveillon Night Market 2022 - All Inclusive","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 05h","Night Market - Belo Horizonte, MG","Descrição do evento
                        
                        ALL INCLUSIVE PREMIUM

 

A virada do ano é sempre mágica.
É um momento de renovação, de novas metas e claro, de muita energia boa. Por
isso a última noite de 2021 precisa ser especial: em um lugar incrível e
rodeado de amigos, além de muita música boa para deixar o clima ainda mais
surpreendente. 

 

Para abrir 2022 com o pé direito,
o Night Market te convida para o Réveillon mais esperado de Belo Horizonte, no
rooftop mais charmoso da cidade, com uma decoração especial e vista panorâmica
para a queima de fogos.

 

Uma noite cheia de surpresas e
superprodução, open bar premium e open food premium, duas pistas e várias
atrações especiais que não podem faltar na ÚLTIMA NOITE de 2021.

 

LINE




Atrações já confirmadas:

 

Boris Furman (sertanejo)

Jannotti
(Open Format)

Rond 
(Funk)

Rafa Xavier (Hip Hop/ Eletrônico)

Luks
(eletrônico).

 



FULL OPEN BAR PREMIUM:



- Red Bull sabores

- Zuur Gin 

- Absolut
Vodka 

-
Jamerson e Ballantines Whiskey 

- Cerveja (Corona, Becks, Bud e Stella)

- Zuur Drinks

- Espumante importado

- Vinhos importados

- Água Tônica 

- Sucos

- Refrigerante

- Água mineral





CARDÁPIO. 

 

Kinoko - comida japonesa

 

De 00:00 as 02:00 o melhor
da gastronomia japonesa,  temakis servidos pelas belas gueixas do Kinoko.
Uma experiência diferente e muito saborosa. Afinal de contas, no Kinoko, a
matéria-prima é escolhida cuidadosamente para a produção dos pratos tradicionais
da culinária japonesa.

 

Cristina Misk Buffet

 

Há
12 anos no mercado, o Buffet Cristina Misk oferece
aos convidados o refinamento, a elegância e os sabores da gastronomia mundial. O Buffet será servido de 21:00hrs
até as 03:30hras. Cristina Misk é sinônimo de qualidade e prestígio: é uma
experiência de bom gosto, muito além do sabor.




Salgados Frios

 

Batatinha Aperitivo com Salaminho
Italiano

Cestinhas Tailandesas de Filé

Petite Tartelette Pomodoro

Ramequim de Berinjela

Rolê de Palmito com Presunto

 

Salgados Assados

 

Vol au Vent de Alho Porró com
Geléia de Damasco

Mini Hamburguer

Mini Pizza Marguerita

Mini Pizza Napolitana

Bala Folhada de Azeitona

Cremozinho de Frango

Empanadas de Queijo e Ervas

Mini Quiche de Espinafre

 

Salgados Fritos

 

Bolinha Bicolor (espinafre e
tomate seco)

Bolinho Agridoce de Risoto com
Provolone

Bolinha Napolitana

Bolinho de Aipim com Queijo
Coalho

Bolinho de Siri Casulo de Anjo

Delícia de Alho Porró 

 

Ceia

 

Penne aos 4 queijos

Penne ao Molho Mediterrâneo com
Ragu de Costela

Penne ao Sugo com Manjericão

Penne com Iscas Bovina ao Molho
Madeira e Champignon

 

 

 

Mais informações: - 31.9.9993-7778- 31.9.9125-3054

Mesas (OPÇAO DE PAGAMENTO PIX)- 31.9.9993-7778- 31.9.9125-3054


O evento seguirá todas as normas e protocolos vigentes em 30 de dezembro de
2021.

Não será cobrada a taxa de rolha.

+18","url('https://images.sympla.com.br/6170723b58834-lg.jpg');"">","R$ 450,00"
"1638499573-506","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 22:00Réveillon Topo do Mundo 2022R. Sen. Milton Campos, 145 - Nova Lima, MG","https://www.sympla.com.br/reveillon-topo-do-mundo-2022__1408125","Réveillon Topo do Mundo 2022","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 03h","R. Sen. Milton Campos, 145 - Nova Lima, MG","Descrição do evento
                        
                        Após a expectativa de retomada das comemorações e festividades de forma segura, ficamos extremamente felizes em anunciar nosso Réveillon Topo do Mundo 2022! 

O evento está sendo preparado num formato seguro, confortável e animado, que acontece em sua décima quarta edição, com o visual de toda BH e Região Metropolitana, de onde se pode visualizar, de forma privilegiada, o belíssimo espetáculo da queima de fogos de artifícios nos diferentes pontos da cidade! O Réveillon será no formato pacotes fechados contemplando mesas para 04 (quatro) a 10 (dez) pessoas com menu especial do Chef Luiz Carlos Resende com entradas, pratos principais e sobremesas, além de bebidas (água, cerveja, refrigerantes, bar de drinques e espumante). 
O evento ainda conta com decoração especial, com salão em formato jantar, ambientação cuidadosamente preparada para que você possa iniciar 2022 como merece, no Topo! 
Adquira seu ingresso no valor do primeiro lote até o dia 30/11/2021: 

Mesa para 4 pessoas - Janela/Vidro - R$ 2.750,00 + Taxa (Por pessoa R$ 687,50 + Taxa)
Mesa para 4 pessoas - Central (Possibilita uma visão parcial da vista) - R$ 2.400,00 + Taxa (Por pessoa R$ 600,00 + Taxa)
 Horário de inicio: 22:00hsHorário término: 03:00hs
Evento Open Bar e Open Food com Menu assinado pelo Chef Luiz Carlos Rezende, incluindo:

Entradas:- Couvert - Canapés - antepastos e pães - carpaccio de filet com alcaparras- Salgados Finos- Cone de Salmão e mix de folhas- Camarão com blini de baroa e pupunha- Tartare de Ossobuco- Ceviche de Banana da terra em cestinha de fillo (vegano)
Jantar:- Bife Chorizzo grelhado com risoto tinto trufado- Dourado do mar e arroz negro- Filé à Wellingtoncom arroz caldoso- Penne à Primavera (opção vegetariana)
Sobremesas:- Corneto crocante com frutas vermelhas- Cestinha de chocolate e mousse de avelã- Banoffe
Bebidas:- Cervejas especiais Baden Baden- Espumante Brut e Moscatel/Demi-Sec (01 garrafa por mesa/4 pessoas)- Gin Tônica
- Caipirinha
- Caipivodka
- Moscow Mulle
Música: DJ Convidado - Tocando os melhores Hits do Momento.","url('https://images.sympla.com.br/61899ca745b92-lg.png');"">","R$ 2.850,00"
"1638499600-513","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 20:30Reveillon 2022 NO PONTONo Ponto Espeteria - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-2022-no-ponto__1400123","Reveillon 2022 NO PONTO","31 de dezembro de 2021, 20h30  - 01 de janeiro de 2022, 04h","No Ponto Espeteria - Belo Horizonte, MG","Descrição do evento
                        
                        Réveillon 2022 

Com todo carinho faremos a nossa virada de ano para celebrar e comemorar com vocês !!
Open BarWhisky
Vodka GinChoppEnergéticoSucoRefrigeranteÁguaOpen FoodBuffet de frios Tira-gostos e salgadosJantar servido em rechoud após a viradaLINE UP :Abertura da casa 20:30Dj 20:30 Banda 22:30
Tocando Ritmos variados ( Sertanejo, pagode , samba , pop rock , mpb)   
Virada com estouro de Espumantes 00hDj 00:00 

Banda: 01:00 as 03:00","url('https://images.sympla.com.br/618048de0acc9-lg.jpg');"">","R$ 160,00"
"1638499604-514","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 22:00Réveillon Tati Bocão #TRIBALGranfino's - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-tati-bocao-tribal__1383183","Réveillon Tati Bocão #TRIBAL","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 07h","Granfino's - Belo Horizonte, MG","Descrição do evento
                        
                        Réveillon Tati Bocão #TRIBALLOTE  NO ESCURO DISPONÍVEL 100,00 pista 180,00 All inclusive Open bar, open food. Água, suco, cerveja, vodka, energético, Gin tropical, Gin maçã verde.Open Food:Frios, salgados, açaí, frutas.","url('https://images.sympla.com.br/617731e23f729-lg.jpg');"">","R$ 100,00"
"1638499637-523","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 22:00REVEILLON DO UNDERGROUND 2022Underground Pub - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-do-underground-2022__1295861","REVEILLON DO UNDERGROUND 2022","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","Underground Pub - Belo Horizonte, MG","Descrição do evento
                        
                        REVEILLON DO UNDERGROUND
OPEN ALL (OPEN BAR E OPEN FOOD)
BUFFET
Salmão Wellington Filé mignon com trifolate de cogumelosRocambole de frangoCanapé de gorgonzola com geleia de pimenta e nozesCanapé de tomate cereja com manjericãoCone de salaminho com azeitona negraDwich de pão de forma listradoMedalhão de palmito com Parma e gergelim negroBeignets de bacalhauBeignets de funghi e shitakeCestinha de massa phyllo Recheada de creme de alho poróCharturier de lomboMini trança de frango ao molho bechamelRolinho trufado de presuntoVou-au-vent com mix de cogumelos e azeiteVou-au-vent de camarão e tomilhoRisoto mineiroRisoto de funghiPenne ao molho
DOCES
Azedinho de damascoBombom crocanteBombom de morangoBombom de côcoBrigadeiro Rosa crispyCasquinha de chocolate com frutas vermelhasChapéu de NapoleãoCrock de chocolateLâminas de chocolate recheada com creme de amêndoas
MESA COM CAFÉ DA MANHÃ
OPEN BAR
Cerveja HeinekenChopp Laut PilsenCerveja Brahma
Wiskey Jack DanielsVodkaÁgua SucoRefrigerante Drinks
SHOWS
CASHLUREXVELOTROLPUTZ GRILLA

INGRESSOS LIMITADOS!
NÃO HAVERÁ RESERVA DE MESAS
PROIBIDO A ENTRADA DE MENORES DE 18 ANOS","url('https://images.sympla.com.br/6101bd9bd89f4-lg.jpg');"">","R$ 600,00"
"1638499634-522","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 20:00REVEILLON 2022 HOTEL ALLIA GRAN PAMPULHAAllia Gran Pampulha Suítes - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-2022-hotel-allia-gran-pampulha__1410542","REVEILLON 2022 HOTEL ALLIA GRAN PAMPULHA","31 de dezembro de 2021, 20h  - 01 de janeiro de 2022, 04h","Allia Gran Pampulha Suítes - Belo Horizonte, MG","Descrição do evento
                        
                        REVEILLON 2022 HOTEL ALLIA GRAN PAMPULHAO evento acontecera no Rooftop (cobertura) do Hotel com vista 360°, o espaço será todo coberto para não correr risco em caso de chuva.SHOWS:FELIPE VELOSO (SERTANEJO)
BANDA ASTRAL (BAILE)DJ VEGA (RITMOS VARIADOS)OPEN BAR:Agua, suco, refrigerante (Coca Cola, Guaraná e Fanta), energético, cerveja (Budweiser), vodka, gin. OBS: Para quem comprar mesa terá também direito a uma garrafa de ESPUMANTE.OBS: Os ingressos são até esgotar!(Evento limitado). OPEN FOOD:Mesa de frutas e frios, mesa de café da manha, salgados finos variados, jantar de massas italianas (a noite toda).EXCLUSIVO: Sushi (de 20h as 22h).O evento contara com uma equipe especializada de profissionais que atuam na área a mais de 15 anos tais como ( seguranças, policiais, brigadistas do corpo de bombeiro, barristas, garçons e toda equipe de produção.","url('https://images.sympla.com.br/618bd0b52099d-lg.jpg');"">","R$ 150,00"
"1638499618-518","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 22:00Réveillon Viva La Vida 2022 - All InclusiveEspaço Província - Nova Lima, MG","https://www.sympla.com.br/reveillon-viva-la-vida-2022-all-inclusive__1370556","Réveillon Viva La Vida 2022 - All Inclusive","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","Espaço Província - Nova Lima, MG","Descrição do evento
                        
                        RÉVEILLON VIVA LA VIDA 2022Bem-vindos à virada mais incrível das nossas vidas!Comemorando
 nossa 11ª Edição, estamos elaborando uma virada ainda mais incrível 
para receber 2022, serão diversas atrações animadíssimas, três ambientes
 com vários lounges espalhados pelo evento, cenários instagramáveis, 
atendimento por garçons, cinco bares, área gourmet em um espaço arejado e
 aconchegante no elegante Espaço Província. Eleito
 por muitos como o melhor e mais selecionado Réveillon de Belo 
Horizonte, a nossa festa da virada, realizada em um dos melhores 
espaços mais desejados para casamentos. e que já faz parte da tradição 
de ano novo na região metropolitana de Belo Horizonte, oferece serviço 
Full Premium open bar e gastronomia de primeira com Buffet completo, em 
uma primorosa ambientação que conta com uma área verde requintada, ideal
 para realização de eventos, contando com uma infraestrutura de peso no 
estilo rústico, em que o paisagismo, por si só, já é uma decoração e 
propicia elegância a qualquer evento. Além disso, a área do deck da casa
 se transforma em uma animada pista de dança, com atrações selecionadas 
para embalar uma noite inesquecível.  A
 partir das 22h a noite começa com coquetel e champagne no lobby. Às 
23h, serão servidos diversos petit goumert e finger foods e a meia 
noite a tradicional ceia de Ano Novo. A partir das 00:30h até às 02\:00h Gastronomia Japonesa. Às 03:00h servidos doces e tortas e
 às 04:00h, os convidados terão acesso ao café da manhã. Open bar 
Premium estão incluídos à noite inteira.Comece o seu ano com as melhores vibrações possíveis, sofisticação, conforto e muita gete bonita. 
Local: Espaço Província 
Horário: 22:00 hrs

LINE UP:SWEET SOUND LIVE VOCAL (DJane e Live Vocal's Feminino) SAXHOUSEBEAT  (DJ + Saxofonista)
BANDA NO LABEL (CLÁSSICOS INTERNACIONAIS & POP ROCK)LIVE VIOLINO FLÁVIO MONTEIRO
DJ MAURÍCIO MAOLI 
VJ JONATHAN PINHEIRO 
ALEMÂO & PEDRO LEITTE (MÙSICA SERTANEJA)
BATERIA SHOW ESCOLA DE SAMBA  
Open Bar Super Premium:
Whisky CHIVAS & BALLANTINES
Vodka ABSOLUT & WYBOROWA BAR DE GIN IMPORTADO  
Espumante Rosé CONDE DE FOUCAULD 
Energético MONSTER
Cerveja EISENBAHNSCHWEPPES
Água mineral, sucos e refrigerantes 
Open Food Premium:JantarPetit Goumert
Salgados finos 
Gastronomia Japonesa
Espetinhos variadosDoces e tortas
Café da Manhã

VENDAS EM DINHEIRO SEM TAXA:
LOJA COLCCI SHOPPING DIAMOND MALL
LOTE ESPECIAL DE LANÇAMENTO - R$ 460,00 Casal ( ESGOTADOS)
1o Lote R$230 FEMININO - R$270 MASCULINO (ESGOTADOS)
Informações - (31)-99337-0995 (wpp) (31) 99665-0007 (wpp)
(31) 99145-3954 (wpp)

MESA 4 PESSOAS - APARTIR DE R$1600,00 (Espaço VIP diferenciado - Atendimento por garçons)

EVENTO TOTALMENTE A PROVA DE CHUVA 

CONVITES LIMITADOS 

Garanta o seu ingresso o quanto antes!

CLASSIFICAÇÃO: 21 ANOS

Siga nosso Instagram: @reveillonvivalavida 
ESTAMOS
 ACOMPANHANDO A ONDA VERDE DO MINAS CONSCIENTE E TODOS OS CONVIDADOS 
DEVERÃO ESTAR DE ACORDO COM OS PROTOCOLOS EXIGIDOS PELA PREFEITURA DE 
NOVA LIMA. Será permitida a entrada com apresentação do cartão de vacinação com as duas doses contra a Covid-19 completas. (Conecte SUS)
Caso o participante ainda não tenha completado as duas doses, poderá ser apresentado o resultado do teste negativo contra a Covid-19, desde que realizado 72h antes do evento.O Réveillon Viva La Vida seguirá as medidas exigidas pelo Decreto Municipal de Nova Lima.*Vale lembrar que na entrada do evento haverá aferição de temperatura e disponibilização de álcool em gel.
Política de ingressos Sympla:
-
 O ingresso é pessoal (nominal). É indispensável a apresentação de um 
documento de identificação original e oficial com foto, juntamente com o
 ingresso impresso ou no aplicativo da Sympla, para validação da 
titularidade.-
 Trocas de titularidade poderão ser realizadas pelo titular da compra; 
basta instalar nosso app! Se você ainda não instalou, clique em uma das 
opções a seguir: symp.la/android| symp.la/ios  .
 Após fazer o login, vá até a aba 'Ingressos', clique sobre o ingresso 
que deseja alterar e no menu 'Opções', selecione 'Editar participantes'.
 Siga os procedimentos indicados na tela e confira os dados preenchidos 
antes de confirmar a alteração! A troca pode ser realizada apenas uma 
vez por ingresso e a permissão para alterar estará disponível até 24 
horas antes do início do evento. Se desejar obter mais informações sobre
 o procedimento, acesse este link: bit.ly/TrocaSelfService. Dúvidas poderão ser encaminhadas para participante@sympla.com.br.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente
 será efetuado caso a solicitação seja feita no prazo de até 7 (sete) 
dias a contar da data da compra, e desde que realizado o pedido de 
devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do 
horário de início do evento. Essa solicitação deve ser feita pelo 
titular da compra através do e-mail: participante@sympla.com.br.Caso
 não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode 
acessá-lo a qualquer momento através do aplicativo da Sympla, disponível
 na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.brou acesse este link: bit.ly/CadeMeuIngresso.Outras informações podem ser encontradas em nossa Central de Ajuda: bit.ly/AjudaSympla.A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais.**Ao
 comprar este convite você autoriza o uso de sua imagem e voz em todo e 
qualquer material entre fotos, vídeos e documentos dos organizadores e 
patrocinadores.**","url('https://images.sympla.com.br/61604bee47a5c-lg.png');"">","R$ 270,00"
"1638499615-517","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sex, 31 Dez · 21:00REVEILLON VIRADA FEST - MANSÃO PAMPULHACasa Pampulha - Belo Horizonte, MG","https://www.sympla.com.br/reveillon-virada-fest-mansao-pampulha__1401750","REVEILLON VIRADA FEST - MANSÃO PAMPULHA","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 07h","Casa Pampulha - Belo Horizonte, MG","Descrição do evento
                        
                        RÉVEILLON VIRADA FEST 
É chegada a hora de recomeçar, celebrar um novo ciclo, com mais amor, muitos sorrisos, abraços e sonhos!A noite de réveillon é um momento  de renovação, alegria, traçar novas metas e muita energia positiva. Por isso convidamos você, amigos e família a celebrarem um novo ciclo com muita felicidade e saúde neste evento incrível, neste local exuberante com uma localização privilegiada!Venha dar boas-vindas ao tão esperado ano de 2022 com o pé direito e da melhor forma possível, com um clima diferenciado e surpreendente.
Preparem-se para uma experiência única e inesquecível!
::ATRAÇÕES::Davi Ferraz (Sertanejo)Sem Limite  (Samba | Pagode) Axé Vintage (Axé Music)Xandy Pisadão (Piseiro)Amine Jabour - Participação EspecialDj Hugo Raphael (World Music)Dj Carioca (Pop Funk)-------------------------------------------------------------------------------------------
Não fique de fora! Adquira seu ingresso sem taxa de conveniência com nossos comissários.
::SETOR PREMIUM::FEMININO R$ 190 / MASCULINO R$ 190 - 1° Lote::Open Bar (Gin Tônica, Whisky 08 anos, Vodka, Cerveja, Energético, Refrigerantes, Sucos e Água).::Open Food (Serviço volante de Salgados e Petiscos)-------------------------------------------------------------------------------------------

::SETOR MESA::
Open Bar: (Whisky 8 anos, Espumante, Vodka, Energético, Cerveja , Refrigerantes, Água e Sucos ).Open Food: Cantinho Mineiro e Ceia (filé ao molho madeira, farofa rica, salpicão, pernil, salada italiana, arroz branco e mesa de frutas).Acesso ao setor Premium.::Serviço de garçons::Banheiros exclusivosEntre em contato no número 98522-1590 e converse diretamente com o comissário.-------------------------------------------------------------------------------------------INFORMAÇÕESWHAT'S APP: (31) 98522-1590
WHAT'S APP: (31) 99260-4045
WHAT'S APP: (31) 98577-4755
-------------------------------------------------------------------------------------------::LOCAL::
Avenida Otacílio Negrão Lima, 4928 - Pampulha, Belo Horizonte
-------------------------------------------------------------------------------------------
CLASSIFICAÇÃO 18 ANOS.


INFORMAÇÕES IMPORTANTES SOBRE INGRESSO
- O ingresso é pessoal (nominal). É indispensável a apresentação de um documento de identificação original e oficial com foto, juntamente com o ingresso impresso ou no aplicativo da Sympla, para validação da titularidade;
- Outras informações podem ser encontradas em nossa Central de Ajuda: bit.ly/AjudaSympla

- A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais.
Protocolos Covid-19- O evento seguirá as medidas exigidas pelo Decreto Municipal de Belo Horizonte. - Será permitida a entrada com apresentação do cartão de vacinação e poderá ser apresentado o resultado do teste negativo contra a Covid-19, desde que realizado 72h antes do evento.- Na entrada, haverá aferição de temperatura e disponibilização de álcool em gel.","url('https://images.sympla.com.br/6182d038b450e-lg.png');"">","R$ 190,00"
"1638499577-507","https://www.sympla.com.br/eventos/belo-horizonte-mg/reveillon?c=sudeste&page=3","Sab, 01 Jan · 22:00ALIVE REVEILLON '22 - AFTER PARTYAFTER PARTY - ALIVE REVEILLON '22 - Nova Lima, MG","https://www.sympla.com.br/alive-reveillon-22-after-party__1412108","ALIVE REVEILLON '22 - AFTER PARTY","01 de janeiro de 2022, 22h  - 02 de janeiro de 2022, 06h","AFTER PARTY - ALIVE REVEILLON '22 - Nova Lima, MG","Descrição do evento
                        
                        ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬AFTER PARTYA primeira festa do ano! Siga também @alive.reveillon▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬Data:  01 JAN Horário: 22:00SAVE THE DATE▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ATRAÇÕES:*Bê Souza**Alemão**Pedro Leitte*▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬Evento com venda de bebidas e alimentação.Stay Tuned.▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
VERIFICAR DESCRIÇÃO REVEILLON ALIVE NO SITE  ::  https://www.sympla.com.br/reveillon-alive-2022---all-inclusive__1387410
ESTAMOS ACOMPANHANDO A ONDA VERDE DO MINAS CONSCIENTE E TODOS OS CONVIDADOS DEVERÃO ESTAR DE ACORDO COM OS PROTOCOLOS EXIGIDOS PELA PREFEITURA DE NOVA LIMA.
Será permitida a entrada com apresentação do cartão de vacinação com as duas doses contra a Covid-19 completas. (Conecte SUS)Caso o participante ainda não tenha completado as duas doses, poderá ser apresentado o resultado do teste negativo contra a Covid-19, desde que realizado 72h antes do evento.O Réveillon ALIVE 2022 seguirá as medidas exigidas pelo Decreto Municipal de Nova Lima.*Vale lembrar que na entrada do evento haverá aferição de temperatura e disponibilização de álcool em gel.Política de ingressos Sympla:- O ingresso é pessoal (nominal). É indispensável a apresentação de um documento de identificação original e oficial com foto, juntamente com o ingresso impresso ou no aplicativo da Sympla, para validação da titularidade.- Trocas de titularidade poderão ser realizadas pelo titular da compra; basta instalar nosso app! Se você ainda não instalou, clique em uma das opções a seguir: symp.la/android| symp.la/ios  . Após fazer o login, vá até a aba 'Ingressos', clique sobre o ingresso que deseja alterar e no menu 'Opções', selecione 'Editar participantes'. Siga os procedimentos indicados na tela e confira os dados preenchidos antes de confirmar a alteração! A troca pode ser realizada apenas uma vez por ingresso e a permissão para alterar estará disponível até 24 horas antes do início do evento. Se desejar obter mais informações sobre o procedimento, acesse este link: bit.ly/TrocaSelfService. Dúvidas poderão ser encaminhadas para participante@sympla.com.br.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente será efetuado caso a solicitação seja feita no prazo de até 7 (sete) dias a contar da data da compra, e desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento. Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br.Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.brou acesse este link: bit.ly/CadeMeuIngresso.Outras informações podem ser encontradas em nossa Central de Ajuda: bit.ly/AjudaSympla.A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais.**Ao comprar este convite você autoriza o uso de sua imagem e voz em todo e qualquer material entre fotos, vídeos e documentos dos organizadores e patrocinadores.**","url('https://images.sympla.com.br/61a819d5ce676-lg.jpg');"">","R$ 360,00"
