web-scraper-order,web-scraper-start-url,evento,evento-href,nome,data,localização,descrição,imagem,preço
"1638502089-560","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Sex, 31 Dez · 23:00RÉVEILLON ENGEOCOPO 2022 - OPEN BARBlack Cap Eventos - Cascavel, PR","https://www.sympla.com.br/reveillon-engeocopo-2022-open-bar__1419504","RÉVEILLON ENGEOCOPO 2022 - OPEN BAR","31 de dezembro de 2021, 23h  - 01 de janeiro de 2022, 05h","Black Cap Eventos - Cascavel, PR","Descrição do evento
                        
                        Os objetivos para o #RéveillonEnge2022 estão listados! E nós cumpriremos todos eles de forma impecável! 
 Ser surpreendente nos mínimos detalhes;
 Fazer desse, o melhor Réveillon de Cascavel e região;
 Open Bar Premium em um ambiente incrível e climatizado;
 Open Food nos setores VIP.E as suas metas para 2022? Já estão todas bem definidas?  VIP PALCO OPEN BAR:
- Whiskey Jhonnie Walker Red Label
- Vodka Smirnoff
- Chopp
- Energético
- Suco
- Água de Coco
- Água
+ Food service com mesa de frutas 
+ Acesso a pista MEZANINO VIP JHONNIE WALKER:
- Whiskey Jhonnie Walker Black Label
- Vodka Smirnoff
- Gin
- Água Tônica
- Energético
- Água de Coco
- Drinks By Oh My gin!
- Espumante
- Chopp
- Suco
- Água de coco
- Água
+ Food service com mesa de frutas e + de 3.000 mil peças de Sushi 
+ Acesso a pista e VIP PALCOPISTA OPEN BAR:
- Chopp
- Vodka
- Energético
- Água
+ Food service com Mesa de frutas Pista: Acesso somente ao ambiente Pista.
Vip Palco: Tem acesso ao ambiente e Pista.
Vip Mezanino: Tem acesso ao ambiente Vip Palco e Pista. ATRAÇÕES 
- c a r r e g a n d o . . . . .LOTE PROMOCIONAL
 LOTE PROMO VIP PALCO - R$90,00
 LOTE PROMO VIP MEZANINO - R$130,00
 LOTE PROMO PISTA - R$60,00Início das vendas: 08h00 de Segunda (22/11)
 Fim do Lote Promo: 23h59 de Terça (23/11) ou até o esgotamento do lote! PONTOS DE VENDA 
CASCAVEL
 Muffatão (Neva, West Side e Cancelli)
 Hope Cascavel (Shopping JL)
 Auto Posto VIP (Centro)
 Made in Grill ( Shopping JL) - aceita cartão
 Farmácia Medicinal Centro - aceita cartão
 Canário Bebidas - aceita cartão DEMAIS CIDADES 
 TOLEDO - Contém Som (Shopping Panambi) - aceita cartão
 TOLEDO - Mundo County - aceita cartão
 TOLEDO - Zero Hora - aceita cartão
 MARECHAL CÂNDIDO RONDON - Posto Região (antigo Posto Camilo) - aceita cartão
 ASSIS CHATEAUBRIAND - Farma Prata - aceita cartão
 PALOTINA - Coperfarma - aceita cartão
 TERRA ROXA - Sorveteria Fafer - aceita cartão
 FOZ DO IGUAÇU - Moka Sushi
 ITAIPULÂNDIA - Icell
 MEDIANEIRA - Chilli Beans
 SANTA HELENA - La Martas
 SÃO MIGUEL DO IGUAÇU - Geração Modas
 SERRANOPOLIS - Loja Estrela a compra no cartão (nos pontos de vendas especificados que aceitam) poderá ser realizada no débito ou parcelamento no crédito em até 12x. [consultar valor do ingresso de acordo com a forma de pagamento] ONLINE - https://www.sympla.com.br/reveillon-engeocopo-2022---open... Serão fornecidos copos personalizados do evento na portaria e você poderá levá-lo para a casa como recordação.
 Proibida a entrada de menores de 18 anos, indispensável apresentação de documento com foto.
 Permitida a entrada de um litro de bebida por pessoa (Whiskey, Champagne, Vodka)
 SE BEBER NÃO DIRIJA!
VAMOS FAZER ESSA VIRADA DE ANO SER INESQUECÍVEL!","url('https://images.sympla.com.br/6197009b39b03-lg.jpg');"">","R$ 140,00"
"1638502095-561","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Sex, 31 Dez · 21:00Reveillon Speciali  Floripa Anno 12Terraço Cacupé - Florianópolis, SC","https://www.sympla.com.br/reveillon-speciali-floripa-anno-12__1399618","Reveillon Speciali  Floripa Anno 12","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 05h","Terraço Cacupé - Florianópolis, SC","Descrição do evento
                        
                        Local: Terraço Cacupé - www.terracocacupe.com.brToda sofisticação em uma mansão localizada em Cacupé com vista para o Mar. Amplo espaço dividido em 3 ambientes. Comece 2022 com uma das paisagens mais bonitas de Florianópolis.
Atrações:Gabriel o Pensador (Show nacional)  www.instagram.com/gabrielopensadoroficialSound Trio(Groove, Agito e qualidade)   www.instagram.com/soundtrioDj Vitera (Mega Funk) www.instagram.com/viteradjDj Cozzati (Open Format) www.instagram.com/cozzattiDj Vitor Guima (Open Format) www.instagram.com/vitorguima
Open bar Premium: (21:00 às 05:00)Gin SeagramsVodka AbsolutWhisky BallantinesEnergético Red Bull (Normal, Suggar free, Tropical)CervejaEspumanteSucos variadosRefrigerante Agua Tônica Agua
Open food: (21:00 às 01:00)Lentilha com defumadosLentilha para veganosPenne sem glúten com molho gorgonzola e pomodoro (vegano)Sanduíches e Wraps (opção veg)
Sobremesas: (01:00 às 02:30)Mesa de chocolates com Ferrero Rocher, Kinder Bueno e Kinder MaxxMaria Coxinha (diversos sabores) www.instagram.com/titiaavomariacoxinha
Diferenciais:Vista para os fogos da beira mar Estacionamento privativo (a parte)Ambientes abertos e ventilados



De acordo com os protocolos vigentes, só será permitida a entrada de pessoas neste estabelecimento utilizando máscaras de proteção facial de forma adequada, cobrindo nariz e boca. O ingresso do público está também condicionado à apresentação do comprovante de esquema vacinal completo - duas doses ou dose única da vacina do Covid-19 (Conecte SUS, cartão de vacinação impresso em papel timbrado emitido pela Secretaria Municipal de Saúde ou outras instituições governamentais nacionais ou estrangeiras) - com pelo menos 14 dias desde a última vacinação.","url('https://images.sympla.com.br/618008d30e716-lg.jpg');"">","R$ 600,00"
"1638502050-553","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","31 Dez01 JanREVEILLON 2022Conca Bar Club - Florianópolis, SC","https://www.sympla.com.br/reveillon-2022__1432736","REVEILLON 2022","31 de dezembro de 2021, 00h30  - 01 de janeiro de 2022, 08h","Conca Bar Club - Florianópolis, SC","Descrição do evento
                        
                        O Réveillon 2022 da CONCA vai reunir os amigos para começar o ANO NOVO com muita música boa, na pista que gira, com aquela vibe maravilhosa.

MESAS E CAMAROTES:   Reservas e informações de camarote em grupo somente pelo telefone/whatsapp (48) 99932-8998.Abertura da casa:           00:30h.","url('https://images.sympla.com.br/61a8ae57a9724-lg.jpg');"">","R$ 50,00"
"1638502110-563","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Sex, 31 Dez · 21:00Classic - Reveillon 2021GREEN HALL - Toledo, PR","https://www.sympla.com.br/classic-reveillon-2021__1049476","Classic - Reveillon 2021","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 07h","GREEN HALL - Toledo, PR","Descrição do evento
                        
                        Classic é o mais novo evento de Réveillon para Toledo e região, buscando trazer uma nova experiência de festa para a cidade mantendo os padrões tradicionais de uma virada de ano.E ai, vamos celebrar a chegada de 2022 com a CLASSE que ela merece?Día 31/12 iremos surpreender vocês com o melhor réveillon de Toledo e Região.CLASSIC - Réveillon 2021","url('https://images.sympla.com.br/6196a3a499bd6-lg.jpg');"">","R$ 77,00"
"1638502114-564","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","24 Dez01 JanFIM DE ANO NO CROSSCrossroads - Curitiba, PR","https://www.sympla.com.br/fim-de-ano-no-cross__1416576","FIM DE ANO NO CROSS","24 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 05h","Crossroads - Curitiba, PR","Descrição do evento
                        
                        SIM! Vai ter Natal no Cross. Vai ter Reveillon no Cross. E a gente tá MUITO feliz de anunciar isso pro mundo! 
A gente sabe que vocês estavam esperando por esse momento tanto quanto a gente. Foram muitos meses de restrições extremas e incertezas. E pra nós é uma honra saber que nesse momento de retorno, vocês estão com a gente. MUITO OBRIGADO. Nosso primeiro Fim de Ano depois de todos esses desafios vai ser inesquecível.  [MERRY ROCK CHRISTMAS]O Natal mais rock 'n' roll da cidade está de volta! 24 de dezembro, a partir das 22h no Cross. Atrações: Válvula Vapor (Rock Nacional) + Drive True (Especial Red Hot, Foo Fighters, Audioslave e mais[NEW YEAR'S ROCK]Bora celebrar essa virada de ano juntos, e colocar o pé direito em 2022 cantando a plenos pulmões esse grito que tá entalada há quase dois anos?
31 de dezembro, a partir das 22h no CrossAtrações: Válvula Vapor (Rock Nacional) + Vivo Trio (Especial The Police, Rush, Led Zeppelin e mais)ATENÇÃO!*Não será permitida a entrada de menores de 18 anos*O valor do ingresso é referente à entrada. Não será revertido em consumação*Fique atento para escolher o ingresso correto! Esse evento contém ingressos para duas datas diferentes: Natal e Ano Novo!","url('https://images.sympla.com.br/6194196382896-lg.png');"">","R$ 44,00"
"1638502054-554","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Sex, 17 Dez · 20:00BAILE DO É NOIX Edição Pré RéveillonEspaço Piu Gastronomia - Curitiba, PR","https://www.sympla.com.br/baile-do-e-noix-edicao-pre-reveillon__1427337","BAILE DO É NOIX Edição Pré Réveillon","17 de dezembro de 2021, 20h","Espaço Piu Gastronomia - Curitiba, PR","Descrição do evento
                        
                        A melhor festa de música voltou, com uma estrutura nunca vista! 1° LOTE PROMOCIONAL JÁ DISPONÍVELBora galera que essa promete ser especial!","url('https://images.sympla.com.br/61a10c9378e43-lg.jpg');"">","R$ 35,00"
"1638502060-555","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Qui, 30 Dez · 22:00Clandestino - Pré Reveillon 30/12!Rancho Do Pescador - Florianópolis, SC","https://www.sympla.com.br/clandestino-pre-reveillon-30-12__1429800","Clandestino - Pré Reveillon 30/12!","30 de dezembro de 2021, 22h  - 31 de dezembro de 2021, 04h","Rancho Do Pescador - Florianópolis, SC","Descrição do evento
                        
                        Vem aí um pré reveillon inesquecível no melhor lugar do mundo com mucha música latina!Pré Reveillon Clandestino!!!!Data: 30/12Horario: 22hrs até de manhãAtrações: Gustavo MonteiroMarcos Scheidt Matheus NegroJu Baratieri
Ingresso: Lote promo R$20Lote 1 R$25Lote 2 R$30","url('https://images.sympla.com.br/61a546388582f-lg.png');"">","R$ 20,00"
"1638502082-559","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Sex, 31 Dez · 22:00RÉVEILLON 2022 - SANTA CLUB LAGOA - FLORIPASanta Club Lounge - Florianópolis, SC","https://www.sympla.com.br/reveillon-2022-santa-club-lagoa-floripa__1344624","RÉVEILLON 2022 - SANTA CLUB LAGOA - FLORIPA","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","Santa Club Lounge - Florianópolis, SC","Descrição do evento
                        
                        Único Réveillon da ilha com duas pistas! 
Ingressos e informações 
48 9 9611 0842

OPEN BAR OPEN FOOD!","url('https://images.sympla.com.br/614054da48643-lg.jpg');"">","null"
"1638502071-557","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Sex, 03 Dez · 23:00Pré Réveillon das MEDsShed Bar - Curitiba, PR","https://www.sympla.com.br/pre-reveillon-das-meds__1426094","Pré Réveillon das MEDs","03 de dezembro de 2021, 23h  - 04 de dezembro de 2021, 06h","Shed Bar - Curitiba, PR","Descrição do evento
                        
                        Um ano como 2021 merece um double de Réveillon. Por que não termos logo dois? Merecemos! A vida pede double de tudo que é bom, de positivo, de bons momentos!
Dia 03 de dezembro de 2021 será uma sexta, e é nela que vamos comemorar nosso Pré-Réveillon, começar um esquenta pra 2022 da melhor maneira, juntando todas as MEDs em uma noite que promete ser sensacional.
Nosso line-up foi especiamente escolhido, trazendo o funk do RIO DE JANEIRO, diretamente do BAILE DA FAVORITA seu principal residente, DJ WALLY!
O hip-hop será comandado pelo residente da COSMOPOLITA, DJ KLEY, presença garantida nas principais noites do verão de Santa Catarina!
Sertanejo com RUAN MANSUR só com as melhores e um MEGAFUNK que... 
...se preparem!
O local será a NOSSA SHEDZINHA, palco de festas inesquecíveis das MEDs e que certamente vão ser ainda melhores, let's go, a primeira edição do PRÉ-RÉVEILLON DAS MEDS vai ser foda!
Garanta seu ingresso antecipado porque é só assim que você vai estar ali com a gente, não demora porque eles são limitados e queremos você. ;)","url('https://images.sympla.com.br/61a1893cc6be6-lg.jpg');"">","R$ 42,00"
"1638502103-562","https://www.sympla.com.br/eventos/porto-alegre-rs/reveillon?c=sul","Qui, 09 Dez · 17:00White PartyCauworking - Centro Empresarial Grupo CRH - Joinville, SC","https://www.sympla.com.br/white-party__1418359","null","null","null","null","null","null"
