web-scraper-order,web-scraper-start-url,eventos,eventos-href,nome,data,localização,imagem,preço
"1638467913-416","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","26 Dez02 JanFim de Tarde - Reveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/fim-de-tarde-reveillon-das-emocoes-2022__1258552","Fim de Tarde - Reveillon das Emoções 2022","26 de dezembro de 2021, 14h  - 02 de janeiro de 2022, 22h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/60d15fd9358ea-lg.png');"">","R$ 1.200,00"
"1638467952-424","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 22:00REVEIÃO GOLARROLÊ 2022Catamaran - Recife, PE","https://www.sympla.com.br/reveiao-golarrole-2022__1390189","REVEIÃO GOLARROLÊ 2022","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","Catamaran - Recife, PE","url('https://images.sympla.com.br/619549ab7a561-lg.jpg');"">","R$ 250,00"
"1638467899-413","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez16 JanCOMBO 2 CAFÉ MACEIÓ (05 festas)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/combo-2-cafe-maceio-05-festas__1313836","COMBO 2 CAFÉ MACEIÓ (05 festas)","27 de dezembro de 2021, 17h  - 16 de janeiro de 2022, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61197a96c083e-lg.jpg');"">","null"
"1638467938-421","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 22:00Réveillon NemVem 2022Loteamento Pratagy - Praia de Riacho Doce - Maceió, AL","https://www.sympla.com.br/reveillon-nemvem-2022__1324974","Réveillon NemVem 2022","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 07h","Loteamento Pratagy - Praia de Riacho Doce - Maceió, AL","url('https://images.sympla.com.br/613b9d32e1804-lg.png');"">","R$ 270,00"
"1638467972-430","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez03 JanRéveillon Vira JeriDunas de Jericoacoara - Jijoca de Jericoacoara, CE","https://www.sympla.com.br/reveillon-vira-jeri__1246574","Réveillon Vira Jeri","27 de dezembro de 2021, 22h  - 03 de janeiro de 2022, 05h","Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","url('https://images.sympla.com.br/60c109f9aa88a-lg.png');"">","R$ 3.600,00"
"1638467903-414","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","26 Dez02 JanDias Avulsos - Fim de Tarde - Reveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/dias-avulsos-fim-de-tarde-reveillon-das-emocoes-2022__1330140","Dias Avulsos - Fim de Tarde - Reveillon das Emoções 2022","26 de dezembro de 2021, 16h  - 02 de janeiro de 2022, 21h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/612e89d45b3a9-lg.png');"">","R$ 280,00"
"1638467884-409","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 22:00RÉVEILLON CELEBRATION 2022 - Viva TôaTôaComplexo de Lazer Tôa Tôa - Porto Seguro, BA","https://www.sympla.com.br/reveillon-celebration-2022-viva-toatoa__1391953","RÉVEILLON CELEBRATION 2022 - Viva TôaTôa","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 04h","Complexo de Lazer Tôa Tôa - Porto Seguro, BA","url('https://images.sympla.com.br/61a63ac2b2bd9-lg.png');"">","R$ 400,00"
"1638467956-425","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez02 JanRéveillon Vira Jeri (Dias Avulsos)Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","https://www.sympla.com.br/reveillon-vira-jeri-dias-avulsos__1314563","Réveillon Vira Jeri (Dias Avulsos)","27 de dezembro de 2021, 23h  - 02 de janeiro de 2022, 06h","Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","url('https://images.sympla.com.br/611aa77ebef5a-lg.png');"">","R$ 750,00"
"1638467959-426","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","26 Dez02 JanVira Sunset - By Réveillon Vira JeriDunas de Jericoacoara - Jijoca de Jericoacoara, CE","https://www.sympla.com.br/vira-sunset-by-reveillon-vira-jeri__1344614","Vira Sunset - By Réveillon Vira Jeri","26 de dezembro de 2021, 16h  - 02 de janeiro de 2022, 21h30","Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","url('https://images.sympla.com.br/6140b3dd826f0-lg.png');"">","R$ 250,00"
"1638467922-418","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 21:00RÉVEILLON ALÉM DO CARMOChácara Baluarte - Salvador, BA","https://www.sympla.com.br/reveillon-alem-do-carmo__1348032","RÉVEILLON ALÉM DO CARMO","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 04h","Chácara Baluarte - Salvador, BA","url('https://images.sympla.com.br/61437b6e746df-lg.jpg');"">","R$ 660,00"
