web-scraper-order,web-scraper-start-url,eventos,eventos-href,nome,data,localização,imagem,preço,descrição
"1638471711-442","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 21:00RÉVEILLON ALÉM DO CARMOChácara Baluarte - Salvador, BA","https://www.sympla.com.br/reveillon-alem-do-carmo__1348032","RÉVEILLON ALÉM DO CARMO","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 04h","Chácara Baluarte - Salvador, BA","url('https://images.sympla.com.br/61437b6e746df-lg.jpg');"">","R$ 660,00","Descrição do evento
                        
                        RÉVEILLON ALÉM DO CARMO Na mais bela vista da baía de todos os Santos, um Réveillon com todo charme e requinte do Santo Antônio Além do Carmo. Venha para o Réveillon mais astral da cidade!LUIZ CALDAS & JAUOPEN BAR PREMIUM - WHISKY CHIVAS 12 ANOS, GIN BEEFEATER, VODKA ABSOLUT, ESPUMANTE, CERVEJA PURO MALTE, REFRIGERANTE, ÁGUA - (ESPAÇO COM PRAÇA DE ALIMENTAÇÃO)ALL INCLUSIVE BY BOI PRETO: - WHISKY CHIVAS 12 ANOS, GIN BEEFEATER, VODKA ABSOLUT, ESPUMANTE, CERVEJA PURO MALTE, REFRIGERANTE, ÁGUA + BUFFET DO BOI PRETO PRIMEInformações: (71) 98136-7184MENORES DE 05 ANOS NÃO PAGAM ENTRADA! MENORES DE 06 À 17 ANOS - VENDA SOMENTE NO SYMPLA (OBRIGATÓRIO APRESENTAÇÃO DE DOCUMENTO DE IDENTIFICAÇÃO)CENSURA: 18 ANOS / MENORES SOMENTE ACOMPANHADO DOS PAIS, OU RESPONSÁVEIS COM PROCURAÇÃO PÚBLICA.

PROTOCOLOS DE SAÚDE:Em cumprimento ao Decreto nº 20.658 de 20/08/2021, é obrigatório:1. Comprovação das duas doses ou dose única, mediante apresentação do documento de vacinação fornecido no momento da imunização ou do Certificada COVID obtido através do aplicativo ""ConecteSUS"" do Ministério da Saúde.2. Respeito aos protocolos sanitários estabelecidos, especialmente o distanciamento social adequado e o uso de máscara.DA POLITICA DE COMPRAS- O ingresso é pessoal (nominal). É indispensável a apresentação de um documento de identificação original e oficial com foto, juntamente com o ingresso impresso ou no aplicativo da Sympla, para validação da titularidade;
- Trocas de titularidade: dúvidas poderão ser encaminhadas para participante@sympla.com.br
- A política de cancelamento respeitará o Art. 49 da Lei 8.078/09 do Código de Defesa do Consumidor que garante um prazo legal de 7 dias para o consumidor desistir da compra, sendo realizado o reembolso do ingresso integral desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento.- Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br ;- Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app ), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.br - Após 7 dias da compra, o consumidor não terá direito a nenhum valor de reembolso, aceitando assim, incondicionalmente, a política de cancelamento da empresa segundo o Código de Defesa do Consumidor, com exceção feita à hipótese de adiamento ou de cancelamento do evento, em decorrência da pandemia da Covid-19, nos termos da Lei Nº 14.046, de 24 de agosto de 2020 e suas alterações, e, exclusivamente na situação em que o organizador do evento optar pelo reembolso, a taxa de serviço de 10% será descontada do valor do total do reembolso;- O não comparecimento ao evento invalidará o ingresso e não permitirá reembolso;- Ao adquirir mais de um ingresso, você deve nomear o ingresso no momento da compra inclusive com número de CPF OU RG- A organização do evento está integralmente comprometida com as condições sanitárias essenciais para realização das festas, de acordo com orientação das autoridades responsáveis.- Ao adquirir o ingresso, você aceita os termos da política do evento em especial a inexistência de responsabilidade dos organizadores do evento quanto aos custos e condições de transporte e hospedagem com o evento em caso de cancelamento do mesmo decorrente da pandemia causada pelo COVID-19- Com a  compra de evento avulso, abdicar-se-á do foro da residência do comprador segundo a lei do consumidor, dando lugar ao Foro da Capital de Salvador - Bahia para dirimir quaisquer conflitos decorrentes dessa relação de consumo.- O local do evento é parcialmente aberto, sujeito aos efeitos climáticos.Outras informações podem ser encontradas em nossa Central de Ajuda:bit.ly/AjudaSympla; A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais."
"1638471736-449","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez02 JanRéveillon Vira Jeri (Dias Avulsos)Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","https://www.sympla.com.br/reveillon-vira-jeri-dias-avulsos__1314563","Réveillon Vira Jeri (Dias Avulsos)","27 de dezembro de 2021, 23h  - 02 de janeiro de 2022, 06h","Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","url('https://images.sympla.com.br/611aa77ebef5a-lg.png');"">","R$ 750,00","Descrição do evento
                        
                        Instagram: @virajeri
Whats App: (11) 94226 - 3368
Email: contato@virajeri.com.br
 Clique aqui para compra de pacotes

VENDAS DOS DIAS AVULSOS DA PROGRAMAÇÃO DO RÉVEILLON VIRA JERI 2022

27/1222:00 - Arena: Banda Eva | Israel e Rodolffo
28/1222:00 - Arena: Dennis DJ | Marina Diniz
29/1222:00 - Arena: Thiaguinho | Barbara Labres
30/1222:00 - Arena: Cat Dealers | Fica Comigo | Bruno Be
31/1221:00 - Arena: Pedro Sampaio | Atitude 67
02/0122:00 - Arena: Jorge e Mateus | Pontifexx
#ViraJeri

Evento destinado a maiores de 18 anos, mediante a apresentação de documento original com foto.

Politica Sympla

- Apresente seu ingresso impresso ou no aplicativo da Sympla, para validação da titularidade.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente será efetuado caso a solicitação seja feita no prazo de até 7 (sete) dias a contar da data da compra, e desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento. Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br.Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.br ou acesse este link: bit.ly/CadeMeuIngresso..A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais."
"1638471740-450","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","26 Dez02 JanVira Sunset - By Réveillon Vira JeriDunas de Jericoacoara - Jijoca de Jericoacoara, CE","https://www.sympla.com.br/vira-sunset-by-reveillon-vira-jeri__1344614","Vira Sunset - By Réveillon Vira Jeri","26 de dezembro de 2021, 16h  - 02 de janeiro de 2022, 21h30","Dunas de Jericoacoara - Jijoca de Jericoacoara, CE","url('https://images.sympla.com.br/6140b3dd826f0-lg.png');"">","R$ 250,00","Descrição do evento
                        
                        Instagram: @virajeri
Whats App: (11) 94226 - 3368
Email: contato@virajeri.com.br
 Clique aqui para compra de pacotes da programação principal! 

VENDAS DOS DIAS AVULSOS DA PROGRAMAÇÃO DO VIRA SUNSET, A PROGRAMAÇÃO DIURNA DO RÉVEILLON VIRA JERI 2022

26/12 - Inauguração da Arena16:00 - @Arena: Vintage Culture
27/12 16:00 - @Beach Club: Lucas Beat e Bloco do Spider

28/1216:00 - @Beach Club: Samba de Santa Clara
29/1216:00 - @Beach Club: Matheus Fernandes (""O Baby, me ateeende"")

30/1216:00 - @Beach Club: Resenha do Mumu 

02/0116:00 - @Beach Club: Atração Surpresa + Me Viu Mentiu

#ViraSunset#ViraJeri

Evento destinado a maiores de 18 anos, mediante a apresentação de documento original com foto.

Politica Sympla

- Apresente seu ingresso impresso ou no aplicativo da Sympla, para validação da titularidade.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente será efetuado caso a solicitação seja feita no prazo de até 7 (sete) dias a contar da data da compra, e desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento. Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br.Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.br ou acesse este link: bit.ly/CadeMeuIngresso..A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais."
"1638471727-446","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez31 DezCOMBO 1 SEMANA REVEILLON  (03 festas)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/combo-1-semana-reveillon-03-festas__1313831","COMBO 1 SEMANA REVEILLON  (03 festas)","27 de dezembro de 2021, 17h  - 31 de dezembro de 2021, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/6119783f34fc5-lg.jpg');"">","R$ 1.005,00","Descrição do evento
                        
                        Desperte para novos momentos, vibre com novos acontecimentos. Abra-se para novas energias e prepare-se para encontros reais. Reserve seu melhor sorriso.
Bem-vindos a melhor Semana de réveillon dos últimos tempos. Bem-vindos a Semana de Réveillon do Cafe 22.
Confira a programação que preparamos para você (INGRESSOS LIMITADOS)
27.12 SURURU (Pedro Sampaio + Kvsh)28.12 VEM ME AMAR (Zé Vaqueiro + Nattan)30.12 PLAYA (Vintage Culture)
O local do show será no paraíso Cafe de La Musique Maceió, localizado em Rodovia AL-101 Norte, Km 10 Maceió – AL, 57039-600.
Censura 18 anos."
"1638471705-440","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","26 Dez02 JanFim de Tarde - Reveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/fim-de-tarde-reveillon-das-emocoes-2022__1258552","Fim de Tarde - Reveillon das Emoções 2022","26 de dezembro de 2021, 14h  - 02 de janeiro de 2022, 22h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/60d15fd9358ea-lg.png');"">","R$ 1.200,00","Descrição do evento
                        
                        Entre em contato com a organização por meio dos seguintes formatos:
Insta: @reveillondasemocoesWhats: (11) 97504-7999E-mail: concierge@reveillondasemocoes.com.br

Eita que esses últimos tempos foram cheio das emoções, né não? 
Mas está na hora de deixar isso para trás! Já é tempo de viver novas emoções: mais leves, mais solares, cheias de esperança.
Bons ventos te trazem pro nosso paraíso, bem aqui no meio das Rota das Emoções, um cantinho só nosso, do nosso jeito. É junto da gente que você recarrega as energias e renova a fé na vida. Sabe aquele momento de se reconectar com o mundo e com a natureza? Acredite, ele acontece nesse pedacinho de litoral piauiense de uma maneira surpreendente.
Chegue mais, com a alma leve e o coração disposto que a parte do inesquecível é por nossa conta!
Vixe, até me emocionei aqui!
Segura a emoção pois, além da programação principal, também preparamos um Fim de Tarde incrível! 
26/12 - Fim de Tarde c/ Gilsons
27/12 - Fim de Tarde c/ EVA
29/12 - Fim de Tarde c/ Duda Beat
30/12 - Fim de Tarde c/ DDP
02/01 - Fim de Tarde c/ Arca Dj Set

Imagine tudo isso e um vilarejo super acolhedor, com excelentes restaurantes e ótimos hotéis, onde você faz tudo a pé por charmosas ruelas de areia? 
É de emocionar, né não?
E fique, tranquilo! Estamos acompanhando toda a situação da pandemia no país e em especial no Piauí. O avanço da vacinação e as previsões estabelecidas pelos governos de que toda população adulta estará vacinada até o fim do ano nos dão total segurança para seguirmos com tranquilidade e responsabilidade. De qualquer forma, nosso evento acontecerá de acordo com os protocolos de saúde que estarão vigentes no final do ano. Em caso de piora considerável na situação da pandemia a ponto de causar o cancelamento do evento, os ingressos automaticamente serão válidos para o ano que vem.


Política de Ingressos Sympla:
- O ingresso é pessoal (nominal). É indispensável a apresentação de um documento de identificação original e oficial com foto, juntamente com o ingresso impresso ou no aplicativo da Sympla, para validação da titularidade.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente será efetuado caso a solicitação seja feita no prazo de até 7 (sete) dias a contar da data da compra, e desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento. Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br.Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.br ou acesse este link: bit.ly/CadeMeuIngresso.Outras informações podem ser encontradas em nossa Central de Ajuda: bit.ly/AjudaSympla.A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais."
"1638471742-451","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez03 JanReveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/reveillon-das-emocoes-2022__1258546","Reveillon das Emoções 2022","27 de dezembro de 2021, 23h  - 03 de janeiro de 2022, 05h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/60d152a9bb7d1-lg.png');"">","R$ 3.950,00","Descrição do evento
                        
                        Entre em contato com a organização por meio dos seguintes formatos:
Insta: @reveillondasemocoesWhats: (11) 97504-7999E-mail: concierge@reveillondasemocoes.com.br

Eita que esses últimos tempos foram cheio das emoções, né não? 
Mas está na hora de deixar isso para trás! Já é tempo de viver novas emoções: mais leves, mais solares, cheias de esperança.
Bons ventos te trazem pro nosso paraíso, bem aqui no meio das Rota das Emoções, um cantinho só nosso, do nosso jeito. É junto da gente que você recarrega as energias e renova a fé na vida. Sabe aquele momento de se reconectar com o mundo e com a natureza? Acredite, ele acontece nesse pedacinho de litoral piauiense de uma maneira surpreendente.
Chegue mais, com a alma leve e o coração disposto que a parte do inesquecível é por nossa conta!
Vixe, até me emocionei aqui!
Segura a emoção, pois preparamos 6 festas Open Bar com uma programação incrível!
27/12 - Adoro Frozen c/ _ _ _ _ _
28/12 - Suba Jovem c/ Dennis (Pool Party)
29/12 - Arca de Noé
30/12 - Festinha c/ Thiaguinho
31/12 - Réveillon c/ Pedro Sampaio
02/02 - Gandaia com Menos é Mais

Imagine tudo isso e um vilarejo super acolhedor, com excelentes restaurantes e ótimos hotéis, onde você faz tudo a pé por charmosas ruelas de areia? 
É de emocionar, né não?
E fique, tranquilo! Estamos acompanhando toda a situação da pandemia no país e em especial no Piauí. O avanço da vacinação e as previsões estabelecidas pelos governos de que toda população adulta estará vacinada até o fim do ano nos dão total segurança para seguirmos com tranquilidade e responsabilidade. De qualquer forma, nosso evento acontecerá de acordo com os protocolos de saúde que estarão vigentes no final do ano. Em caso de piora considerável na situação da pandemia a ponto de causar o cancelamento do evento, os ingressos automaticamente serão válidos para o ano que vem.


Política de Ingressos Sympla:
- O ingresso é pessoal (nominal). É indispensável a apresentação de um documento de identificação original e oficial com foto, juntamente com o ingresso impresso ou no aplicativo da Sympla, para validação da titularidade.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente será efetuado caso a solicitação seja feita no prazo de até 7 (sete) dias a contar da data da compra, e desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento. Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br.Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.br ou acesse este link: bit.ly/CadeMeuIngresso.Outras informações podem ser encontradas em nossa Central de Ajuda: bit.ly/AjudaSympla.A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais."
"1638471722-445","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 22:00Réveillon NemVem 2022Loteamento Pratagy - Praia de Riacho Doce - Maceió, AL","https://www.sympla.com.br/reveillon-nemvem-2022__1324974","Réveillon NemVem 2022","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 07h","Loteamento Pratagy - Praia de Riacho Doce - Maceió, AL","url('https://images.sympla.com.br/613b9d32e1804-lg.png');"">","R$ 270,00","Descrição do evento"
"1638471715-443","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez02 JanDias Avulsos - Réveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/dias-avulsos-reveillon-das-emocoes-2022__1329841","Dias Avulsos - Réveillon das Emoções 2022","27 de dezembro de 2021, 23h  - 02 de janeiro de 2022, 06h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/612e8973a48f6-lg.png');"">","R$ 780,00","Descrição do evento
                        
                        EVENTO EXCLUSIVO PARA COMPRA DE INGRESSOS DE DIAS AVULSOS

Entre em contato com a organização por meio dos seguintes formatos:
Insta: @reveillondasemocoesWhats: (11) 97504-7999E-mail: concierge@reveillondasemocoes.com.br

Eita que esses últimos tempos foram cheio das emoções, né não? 
Mas está na hora de deixar isso para trás! Já é tempo de viver novas emoções: mais leves, mais solares, cheias de esperança.
Bons ventos te trazem pro nosso paraíso, bem aqui no meio das Rota das Emoções, um cantinho só nosso, do nosso jeito. É junto da gente que você recarrega as energias e renova a fé na vida. Sabe aquele momento de se reconectar com o mundo e com a natureza? Acredite, ele acontece nesse pedacinho de litoral piauiense de uma maneira surpreendente.
Chegue mais, com a alma leve e o coração disposto que a parte do inesquecível é por nossa conta!
Vixe, até me emocionei aqui!
Segura a emoção, pois preparamos 6 festas Open Bar com uma programação incrível!

27/12 - Adoro Frozen c/ Silva
28/12 - Suba Jovem c/ Dennis (Pool Party)
29/12 - Arca de Noé
30/12 - Festinha c/ Thiaguinho
31/12 - Réveillon c/ Pedro Sampaio
02/02 - Gandaia com Menos é Mais

Imagine tudo isso e um vilarejo super acolhedor, com excelentes restaurantes e ótimos hotéis, onde você faz tudo a pé por charmosas ruelas de areia? 
É de emocionar, né não?
E fique, tranquilo! Estamos acompanhando toda a situação da pandemia no país e em especial no Piauí. O avanço da vacinação e as previsões estabelecidas pelos governos de que toda população adulta estará vacinada até o fim do ano nos dão total segurança para seguirmos com tranquilidade e responsabilidade. De qualquer forma, nosso evento acontecerá de acordo com os protocolos de saúde que estarão vigentes no final do ano. Em caso de piora considerável na situação da pandemia a ponto de causar o cancelamento do evento, os ingressos automaticamente serão válidos para o ano que vem.


Política de Ingressos Sympla:
- O ingresso é pessoal (nominal). É indispensável a apresentação de um documento de identificação original e oficial com foto, juntamente com o ingresso impresso ou no aplicativo da Sympla, para validação da titularidade.- Em caso de arrependimento da compra, o reembolso do valor do ingresso somente será efetuado caso a solicitação seja feita no prazo de até 7 (sete) dias a contar da data da compra, e desde que realizado o pedido de devolução com, no máximo, 48 (quarenta e oito) horas de antecedência do horário de início do evento. Essa solicitação deve ser feita pelo titular da compra através do e-mail: participante@sympla.com.br.Caso não tenha recebido o ingresso (ou inscrição) em seu e-mail, você pode acessá-lo a qualquer momento através do aplicativo da Sympla, disponível na App Store ou Play Store (www.sympla.com.br/app), no site da Sympla (menu “Meus pedidos”), entrando em contato através do e-mail participante@sympla.com.br ou acesse este link: bit.ly/CadeMeuIngresso.Outras informações podem ser encontradas em nossa Central de Ajuda: bit.ly/AjudaSympla.A Sympla não se responsabiliza por ingressos adquiridos em pontos de venda não oficiais."
"1638471685-436","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sab, 08 Jan · 17:00DUB TROPICAL (Dubdogz)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/dub-tropical-dubdogz__1312428","DUB TROPICAL (Dubdogz)","08 de janeiro de 2022, 17h  - 09 de janeiro de 2022, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61195ef6584e4-lg.jpg');"">","R$ 150,00","Descrição do evento
                        
                        Desperte para novos momentos, vibre com novos acontecimentos. Abra-se para novas energias e prepare-se para encontros reais. Reserve seu melhor sorriso.
Bem-vindos a melhor Semana de réveillon dos últimos tempos. Bem-vindos a Semana de Réveillon do Cafe 22.
Confira a programação que preparamos para você (INGRESSOS LIMITADOS)
8.01 DUB TROPICAL (Dubdogz)
O local do show será no paraíso Cafe de La Musique Maceió, localizado em Rodovia AL-101 Norte, Km 10 Maceió – AL, 57039-600.
Censura 18 anos."
"1638471688-437","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez16 JanCOMBO 2 CAFÉ MACEIÓ (05 festas)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/combo-2-cafe-maceio-05-festas__1313836","COMBO 2 CAFÉ MACEIÓ (05 festas)","27 de dezembro de 2021, 17h  - 16 de janeiro de 2022, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61197a96c083e-lg.jpg');"">","null","Descrição do evento
                        
                        Desperte para novos momentos, vibre com novos acontecimentos. Abra-se para novas energias e prepare-se para encontros reais. Reserve seu melhor sorriso.
Bem-vindos a melhor Semana de réveillon dos últimos tempos. Bem-vindos a Semana de Réveillon do Cafe 22.
Confira a programação que preparamos para você (INGRESSOS LIMITADOS)
27.12 SURURU (Pedro Sampaio + Kvsh)28.12 VEM ME AMAR (Zé Vaqueiro + Nattan)30.12 PLAYA (Vintage Culture)8.01 DUB TROPICAL (Dubdogz)15.01 BAILE DO BARÕES (Barões da Pisadinha)
O local do show será no paraíso Cafe de La Musique Maceió, localizado em Rodovia AL-101 Norte, Km 10 Maceió – AL, 57039-600.
Censura 18 anos."
